filename,width,height,class,xmin,ymin,xmax,ymax
14_19_11.xml,800,800,ship,14,535,35,557
14_19_11.xml,800,800,ship,406,389,420,402
14_19_11.xml,800,800,ship,392,689,402,699
14_15_23.xml,800,800,ship,683,275,717,313
14_16_13.xml,800,800,ship,177,368,199,407
14_16_10.xml,800,800,ship,669,179,686,204
14_16_10.xml,800,800,ship,734,46,744,62
14_17_11.xml,800,800,ship,56,507,73,532
14_17_11.xml,800,800,ship,390,616,405,642
14_17_11.xml,800,800,ship,659,686,672,701
14_17_11.xml,800,800,ship,684,685,695,701
14_17_11.xml,800,800,ship,707,682,723,697
14_17_11.xml,800,800,ship,544,312,573,334
14_17_11.xml,800,800,ship,465,1,477,20
14_16_6.xml,800,800,ship,94,162,115,190
14_16_6.xml,800,800,ship,180,86,203,121
14_16_6.xml,800,800,ship,201,290,213,299
14_16_6.xml,800,800,ship,174,513,185,536
14_16_6.xml,800,800,ship,212,422,225,438
14_16_6.xml,800,800,ship,252,555,268,587
14_16_6.xml,800,800,ship,329,588,341,609
14_16_6.xml,800,800,ship,451,550,465,564
14_16_6.xml,800,800,ship,516,661,538,680
14_16_6.xml,800,800,ship,544,540,570,575
14_16_6.xml,800,800,ship,504,467,521,484
14_16_6.xml,800,800,ship,598,652,609,666
14_16_6.xml,800,800,ship,669,594,679,603
14_16_6.xml,800,800,ship,638,508,653,532
14_16_6.xml,800,800,ship,463,370,481,383
14_16_6.xml,800,800,ship,506,284,522,301
14_16_6.xml,800,800,ship,562,355,575,379
14_16_6.xml,800,800,ship,654,297,670,326
14_16_6.xml,800,800,ship,627,419,638,441
14_16_6.xml,800,800,ship,703,459,722,477
14_16_6.xml,800,800,ship,744,609,760,626
14_16_6.xml,800,800,ship,749,363,769,381
14_16_6.xml,800,800,ship,746,270,763,286
14_16_6.xml,800,800,ship,790,522,800,540
14_16_6.xml,800,800,ship,791,415,800,429
14_16_6.xml,800,800,ship,393,93,411,126
14_16_6.xml,800,800,ship,410,216,422,240
14_16_6.xml,800,800,ship,501,169,516,187
14_16_6.xml,800,800,ship,572,74,586,92
14_16_6.xml,800,800,ship,608,142,626,181
14_16_6.xml,800,800,ship,763,67,781,97
14_16_6.xml,800,800,ship,508,741,527,768
14_16_6.xml,800,800,ship,574,732,589,750
