,image_id,category_id,bbox,score,inshore,result,xmin,xmax,ymin,ymax,bbox2,iou,gt_id
0,11_10_10,0,"[483.7619323730469, 397.259765625, 16.08984375, 16.018310546875]",0.884446203708648,0,1,483.7619323730469,499.8517761230469,397.259765625,413.278076171875,"[483.7619323730469, 397.259765625, 499.8517761230469, 413.278076171875]",0.6431681513786316,2350
1,11_10_11,0,"[392.0898132324219, 411.69512939453125, 15.79833984375, 19.23992919921875]",0.9241956472396851,0,1,392.0898132324219,407.8881530761719,411.69512939453125,430.93505859375,"[392.0898132324219, 411.69512939453125, 407.8881530761719, 430.93505859375]",0.7435386776924133,2347
2,11_10_13,0,"[362.3845520019531, 28.692062377929688, 25.82989501953125, 20.786460876464844]",0.958483815193176,0,1,362.3845520019531,388.2144470214844,28.692062377929688,49.47852325439453,"[362.3845520019531, 28.692062377929688, 388.2144470214844, 49.47852325439453]",0.7431383728981018,1667
3,11_10_13,0,"[161.8732452392578, 378.771484375, 15.759735107421875, 19.1285400390625]",0.927231132984161,0,1,161.8732452392578,177.6329803466797,378.771484375,397.9000244140625,"[161.8732452392578, 378.771484375, 177.6329803466797, 397.9000244140625]",0.6037270426750183,1666
4,11_10_15,0,"[351.986328125, 304.61260986328125, 23.22869873046875, 36.21087646484375]",0.936764180660247,0,1,351.986328125,375.21502685546875,304.61260986328125,340.823486328125,"[351.986328125, 304.61260986328125, 375.21502685546875, 340.823486328125]",0.7340125441551208,1682
5,11_10_19,0,"[515.824951171875, 519.6358032226562, 41.519287109375, 54.625]",0.9393923282623291,0,1,515.824951171875,557.34423828125,519.6358032226562,574.2608032226562,"[515.824951171875, 519.6358032226562, 557.34423828125, 574.2608032226562]",0.715599536895752,1373
6,11_10_21,0,"[693.1276245117188, 212.49273681640625, 19.5169677734375, 19.418487548828125]",0.895359694957733,0,1,693.1276245117188,712.6445922851562,212.49273681640625,231.91122436523438,"[693.1276245117188, 212.49273681640625, 712.6445922851562, 231.91122436523438]",0.5488271713256836,1395
7,11_10_22,0,"[713.549560546875, 91.24526977539062, 12.380615234375, 12.962249755859375]",0.6546117067337031,0,0,713.549560546875,725.93017578125,91.24526977539062,104.20751953125,"[713.549560546875, 91.24526977539062, 725.93017578125, 104.20751953125]",0.0,0
8,11_10_26,0,"[387.04400634765625, 522.2256469726562, 13.7012939453125, 17.2318115234375]",0.8315740227699281,0,0,387.04400634765625,400.74530029296875,522.2256469726562,539.4574584960938,"[387.04400634765625, 522.2256469726562, 400.74530029296875, 539.4574584960938]",0.0,0
9,11_10_28,0,"[368.1490173339844, 452.941650390625, 16.23956298828125, 28.478759765625]",0.936389505863189,1,1,368.1490173339844,384.3885803222656,452.941650390625,481.42041015625,"[368.1490173339844, 452.941650390625, 384.3885803222656, 481.42041015625]",0.828993558883667,1413
10,11_10_28,0,"[0.0, 105.40451049804688, 9.145936965942383, 22.17376708984375]",0.578210890293121,1,0,0.0,9.145936965942383,105.40451049804688,127.57827758789062,"[0.0, 105.40451049804688, 9.145936965942383, 127.57827758789062]",0.0,0
11,11_10_30,0,"[45.249324798583984, 321.5148620605469, 26.072086334228516, 27.437744140625]",0.9432795047760011,1,1,45.249324798583984,71.3214111328125,321.5148620605469,348.9526062011719,"[45.249324798583984, 321.5148620605469, 71.3214111328125, 348.9526062011719]",0.8671135902404785,2259
12,11_10_30,0,"[85.22752380371094, 483.1850891113281, 20.720199584960938, 24.7117919921875]",0.9343103170394891,1,1,85.22752380371094,105.94772338867188,483.1850891113281,507.8968811035156,"[85.22752380371094, 483.1850891113281, 105.94772338867188, 507.8968811035156]",0.7178702354431152,2261
13,11_10_30,0,"[122.67704772949219, 552.4747924804688, 18.0443115234375, 20.53564453125]",0.8257650136947631,1,1,122.67704772949219,140.7213592529297,552.4747924804688,573.0104370117188,"[122.67704772949219, 552.4747924804688, 140.7213592529297, 573.0104370117188]",0.8033214807510376,2263
14,11_10_30,0,"[119.8008804321289, 506.8768310546875, 11.581703186035156, 13.467041015625]",0.6043187379837031,1,1,119.8008804321289,131.38258361816406,506.8768310546875,520.3438720703125,"[119.8008804321289, 506.8768310546875, 131.38258361816406, 520.3438720703125]",0.7694523334503174,2262
15,11_10_30,0,"[185.482421875, 565.5869750976562, 14.62603759765625, 18.798583984375]",0.5383480787277221,1,1,185.482421875,200.10845947265625,565.5869750976562,584.3855590820312,"[185.482421875, 565.5869750976562, 200.10845947265625, 584.3855590820312]",0.602581262588501,2264
16,11_10_5,0,"[588.4322509765625, 7.773903846740723, 18.124267578125, 17.370906829833984]",0.9289243817329401,0,1,588.4322509765625,606.5565185546875,7.773903846740723,25.144810676574707,"[588.4322509765625, 7.773903846740723, 606.5565185546875, 25.144810676574707]",0.6837884783744812,1655
17,11_11_22,0,"[748.3115234375, 26.9729061126709, 18.1622314453125, 19.44663429260254]",0.88551127910614,0,1,748.3115234375,766.4737548828125,26.9729061126709,46.41954040527344,"[748.3115234375, 26.9729061126709, 766.4737548828125, 46.41954040527344]",0.6561408042907715,2300
18,11_11_25,0,"[717.8292846679688, 718.6239013671875, 19.822021484375, 27.8238525390625]",0.9341069459915161,0,1,717.8292846679688,737.6513061523438,718.6239013671875,746.44775390625,"[717.8292846679688, 718.6239013671875, 737.6513061523438, 746.44775390625]",0.721170961856842,1375
19,11_11_25,0,"[459.6275329589844, 630.2556762695312, 17.7591552734375, 23.0584716796875]",0.9251545667648311,0,1,459.6275329589844,477.3866882324219,630.2556762695312,653.3141479492188,"[459.6275329589844, 630.2556762695312, 477.3866882324219, 653.3141479492188]",0.6342052221298218,1374
20,11_11_26,0,"[570.2656860351562, 575.63623046875, 23.24755859375, 28.19482421875]",0.9476960897445671,0,1,570.2656860351562,593.5132446289062,575.63623046875,603.8310546875,"[570.2656860351562, 575.63623046875, 593.5132446289062, 603.8310546875]",0.45769327878952026,1649
21,11_11_26,0,"[475.70404052734375, 710.0848999023438, 32.75714111328125, 35.4329833984375]",0.9424307346343991,0,1,475.70404052734375,508.461181640625,710.0848999023438,745.5178833007812,"[475.70404052734375, 710.0848999023438, 508.461181640625, 745.5178833007812]",0.6995879411697388,1650
22,11_11_26,0,"[623.028076171875, 527.0469360351562, 23.790283203125, 21.48779296875]",0.9369544982910151,0,1,623.028076171875,646.818359375,527.0469360351562,548.5347290039062,"[623.028076171875, 527.0469360351562, 646.818359375, 548.5347290039062]",0.7507837414741516,1648
23,11_11_26,0,"[705.1091918945312, 649.4666137695312, 19.2161865234375, 27.371826171875]",0.9260762333869931,0,1,705.1091918945312,724.3253784179688,649.4666137695312,676.8384399414062,"[705.1091918945312, 649.4666137695312, 724.3253784179688, 676.8384399414062]",0.8262377977371216,1651
24,11_11_26,0,"[488.5125732421875, 234.94593811035156, 16.76416015625, 26.018234252929688]",0.91849535703659,0,0,488.5125732421875,505.2767333984375,234.94593811035156,260.96417236328125,"[488.5125732421875, 234.94593811035156, 505.2767333984375, 260.96417236328125]",0.0,0
25,11_11_26,0,"[615.9024658203125, 354.05126953125, 16.9627685546875, 19.32177734375]",0.856713831424713,0,1,615.9024658203125,632.865234375,354.05126953125,373.373046875,"[615.9024658203125, 354.05126953125, 632.865234375, 373.373046875]",0.7223893404006958,1647
26,11_11_26,0,"[503.9553527832031, 758.4799194335938, 12.494415283203125, 14.12060546875]",0.6186121106147761,0,0,503.9553527832031,516.4497680664062,758.4799194335938,772.6005249023438,"[503.9553527832031, 758.4799194335938, 516.4497680664062, 772.6005249023438]",0.0,0
27,11_11_27,0,"[162.04161071777344, 107.38052368164062, 22.014678955078125, 27.207656860351562]",0.9478439688682551,1,1,162.04161071777344,184.05628967285156,107.38052368164062,134.5881805419922,"[162.04161071777344, 107.38052368164062, 184.05628967285156, 134.5881805419922]",0.7986215353012085,1562
28,11_11_28,0,"[96.55001068115234, 74.84161376953125, 15.630584716796875, 14.159011840820312]",0.534146606922149,1,0,96.55001068115234,112.18059539794922,74.84161376953125,89.00062561035156,"[96.55001068115234, 74.84161376953125, 112.18059539794922, 89.00062561035156]",0.0,0
29,11_11_7,0,"[362.6382141113281, 19.26201057434082, 21.5894775390625, 17.778501510620117]",0.9567097425460811,0,1,362.6382141113281,384.2276916503906,19.26201057434082,37.04051208496094,"[362.6382141113281, 19.26201057434082, 384.2276916503906, 37.04051208496094]",0.6635091304779053,1511
30,11_11_8,0,"[306.8001403808594, 264.75665283203125, 19.079345703125, 14.8724365234375]",0.9406959414482111,0,1,306.8001403808594,325.8794860839844,264.75665283203125,279.62908935546875,"[306.8001403808594, 264.75665283203125, 325.8794860839844, 279.62908935546875]",0.7330232262611389,1376
31,11_12_17,0,"[461.7931823730469, 524.406982421875, 11.777587890625, 17.1744384765625]",0.682117104530334,0,1,461.7931823730469,473.5707702636719,524.406982421875,541.5814208984375,"[461.7931823730469, 524.406982421875, 473.5707702636719, 541.5814208984375]",0.6319068670272827,2286
32,11_12_17,0,"[528.6693115234375, 343.69586181640625, 13.7008056640625, 15.9805908203125]",0.601955711841583,0,1,528.6693115234375,542.3701171875,343.69586181640625,359.67645263671875,"[528.6693115234375, 343.69586181640625, 542.3701171875, 359.67645263671875]",0.5881783962249756,2285
33,11_12_18,0,"[536.4775390625, 412.9461364746094, 15.7510986328125, 25.35162353515625]",0.9370197057723991,0,1,536.4775390625,552.2286376953125,412.9461364746094,438.2977600097656,"[536.4775390625, 412.9461364746094, 552.2286376953125, 438.2977600097656]",0.6400812268257141,1664
34,11_12_19,0,"[40.88841247558594, 455.1117248535156, 21.125877380371094, 21.58306884765625]",0.9494444727897641,0,1,40.88841247558594,62.01428985595703,455.1117248535156,476.6947937011719,"[40.88841247558594, 455.1117248535156, 62.01428985595703, 476.6947937011719]",0.7764026522636414,1685
35,11_12_20,0,"[299.2749328613281, 226.9235076904297, 20.89666748046875, 21.776397705078125]",0.919824182987213,0,1,299.2749328613281,320.1716003417969,226.9235076904297,248.6999053955078,"[299.2749328613281, 226.9235076904297, 320.1716003417969, 248.6999053955078]",0.7189592719078064,1313
36,11_12_22,0,"[244.5460205078125, 528.4790649414062, 26.4625244140625, 30.328125]",0.939158201217651,0,1,244.5460205078125,271.008544921875,528.4790649414062,558.8071899414062,"[244.5460205078125, 528.4790649414062, 271.008544921875, 558.8071899414062]",0.787047266960144,2270
37,11_12_26,0,"[246.0943603515625, 267.00189208984375, 20.94439697265625, 25.875244140625]",0.9663558006286621,0,1,246.0943603515625,267.03875732421875,267.00189208984375,292.87713623046875,"[246.0943603515625, 267.00189208984375, 267.03875732421875, 292.87713623046875]",0.8684958219528198,1618
38,11_12_26,0,"[46.69001388549805, 593.0403442382812, 27.517398834228516, 27.526123046875]",0.9284365177154541,0,1,46.69001388549805,74.20741271972656,593.0403442382812,620.5664672851562,"[46.69001388549805, 593.0403442382812, 74.20741271972656, 620.5664672851562]",0.49465668201446533,1615
39,11_12_26,0,"[171.76248168945312, 591.8623657226562, 20.36456298828125, 25.470703125]",0.9206695556640621,0,1,171.76248168945312,192.12704467773438,591.8623657226562,617.3330688476562,"[171.76248168945312, 591.8623657226562, 192.12704467773438, 617.3330688476562]",0.5899366140365601,1616
40,11_12_26,0,"[397.73944091796875, 404.2237548828125, 18.50616455078125, 21.0911865234375]",0.904817581176757,0,1,397.73944091796875,416.24560546875,404.2237548828125,425.31494140625,"[397.73944091796875, 404.2237548828125, 416.24560546875, 425.31494140625]",0.8710869550704956,1621
41,11_12_26,0,"[378.7770080566406, 192.520263671875, 16.88214111328125, 19.424285888671875]",0.890612721443176,0,1,378.7770080566406,395.6591491699219,192.520263671875,211.94454956054688,"[378.7770080566406, 192.520263671875, 395.6591491699219, 211.94454956054688]",0.7307354807853699,1619
42,11_12_26,0,"[387.1547546386719, 333.15155029296875, 16.13995361328125, 20.31976318359375]",0.8767879009246821,0,1,387.1547546386719,403.2947082519531,333.15155029296875,353.4713134765625,"[387.1547546386719, 333.15155029296875, 403.2947082519531, 353.4713134765625]",0.7614991664886475,1620
43,11_12_26,0,"[392.0927734375, 771.73193359375, 16.909912109375, 26.1248779296875]",0.849819719791412,0,1,392.0927734375,409.002685546875,771.73193359375,797.8568115234375,"[392.0927734375, 771.73193359375, 409.002685546875, 797.8568115234375]",0.6628307104110718,1617
44,11_12_26,0,"[491.2357482910156, 402.5958251953125, 12.809326171875, 15.98291015625]",0.8481560945510861,0,1,491.2357482910156,504.0450744628906,402.5958251953125,418.5787353515625,"[491.2357482910156, 402.5958251953125, 504.0450744628906, 418.5787353515625]",0.7831353545188904,1622
45,11_12_27,0,"[668.6363525390625, 556.6629028320312, 24.86669921875, 36.7376708984375]",0.5932710170745851,1,0,668.6363525390625,693.5030517578125,556.6629028320312,593.4005737304688,"[668.6363525390625, 556.6629028320312, 693.5030517578125, 593.4005737304688]",0.0,0
46,11_12_3,0,"[363.23486328125, 672.20166015625, 13.459716796875, 33.0250244140625]",0.6822348833084101,0,2,363.23486328125,376.694580078125,672.20166015625,705.2266845703125,"[363.23486328125, 672.20166015625, 376.694580078125, 705.2266845703125]",0.0,0
47,11_12_3,0,"[364.59564208984375, 673.3103637695312, 11.7203369140625, 16.22900390625]",0.6292700767517091,0,1,364.59564208984375,376.31597900390625,673.3103637695312,689.5393676757812,"[364.59564208984375, 673.3103637695312, 376.31597900390625, 689.5393676757812]",0.5888246893882751,1684
48,11_12_30,0,"[4.390872955322266, 170.45799255371094, 20.140243530273438, 15.647430419921875]",0.8492347002029411,1,1,4.390872955322266,24.531116485595703,170.45799255371094,186.1054229736328,"[4.390872955322266, 170.45799255371094, 24.531116485595703, 186.1054229736328]",0.713623046875,1628
49,11_12_30,0,"[44.10004806518555, 504.3792724609375, 17.440597534179688, 33.1861572265625]",0.848548412322998,1,1,44.10004806518555,61.540645599365234,504.3792724609375,537.5654296875,"[44.10004806518555, 504.3792724609375, 61.540645599365234, 537.5654296875]",0.7231070399284363,1629
50,11_12_5,0,"[456.37994384765625, 645.5465698242188, 19.837890625, 16.7109375]",0.9345327615737911,0,1,456.37994384765625,476.21783447265625,645.5465698242188,662.2575073242188,"[456.37994384765625, 645.5465698242188, 476.21783447265625, 662.2575073242188]",0.7179275751113892,1461
51,11_12_7,0,"[760.7037963867188, 718.043701171875, 16.02294921875, 30.080078125]",0.877082645893096,0,1,760.7037963867188,776.7267456054688,718.043701171875,748.123779296875,"[760.7037963867188, 718.043701171875, 776.7267456054688, 748.123779296875]",0.7162834405899048,1316
52,11_13_13,0,"[701.018310546875, 46.967079162597656, 18.91650390625, 33.099525451660156]",0.9135940670967101,0,1,701.018310546875,719.934814453125,46.967079162597656,80.06660461425781,"[701.018310546875, 46.967079162597656, 719.934814453125, 80.06660461425781]",0.9114234447479248,1683
53,11_13_17,0,"[575.8797607421875, 219.1383819580078, 33.9368896484375, 39.24424743652344]",0.9460390806198121,0,1,575.8797607421875,609.816650390625,219.1383819580078,258.38262939453125,"[575.8797607421875, 219.1383819580078, 609.816650390625, 258.38262939453125]",0.6397057771682739,1521
