,filename,width,height,class,xmin,ymin,xmax,ymax,inshore,result,det_id,bbox,iou
0,14_19_11,800,800,ship,14,535,35,557,0,1,1859,"[14, 535, 35, 557]",0.357861191034317
1,14_19_11,800,800,ship,406,389,420,402,0,1,1857,"[406, 389, 420, 402]",0.5836014747619629
2,14_19_11,800,800,ship,392,689,402,699,0,1,1858,"[392, 689, 402, 699]",0.4980553984642029
3,14_15_23,800,800,ship,683,275,717,313,0,1,1673,"[683, 275, 717, 313]",0.7359709739685059
4,14_16_13,800,800,ship,177,368,199,407,0,1,1707,"[177, 368, 199, 407]",0.6250028610229492
5,14_16_10,800,800,ship,669,179,686,204,0,1,1699,"[669, 179, 686, 204]",0.7031219005584717
6,14_16_10,800,800,ship,734,46,744,62,0,1,1700,"[734, 46, 744, 62]",0.7844423651695251
7,14_17_11,800,800,ship,56,507,73,532,0,1,1777,"[56, 507, 73, 532]",0.5006484389305115
8,14_17_11,800,800,ship,390,616,405,642,0,1,1776,"[390, 616, 405, 642]",0.6739584803581238
9,14_17_11,800,800,ship,659,686,672,701,0,1,1778,"[659, 686, 672, 701]",0.6534857749938965
10,14_17_11,800,800,ship,684,685,695,701,0,1,1775,"[684, 685, 695, 701]",0.6816243529319763
11,14_17_11,800,800,ship,707,682,723,697,0,1,1773,"[707, 682, 723, 697]",0.6827226877212524
12,14_17_11,800,800,ship,544,312,573,334,0,1,1772,"[544, 312, 573, 334]",0.9096068739891052
13,14_17_11,800,800,ship,465,1,477,20,0,1,1774,"[465, 1, 477, 20]",0.6241854429244995
14,14_16_6,800,800,ship,94,162,115,190,0,1,1742,"[94, 162, 115, 190]",0.7559801340103149
15,14_16_6,800,800,ship,180,86,203,121,0,1,1726,"[180, 86, 203, 121]",0.7174522876739502
16,14_16_6,800,800,ship,201,290,213,299,0,1,1736,"[201, 290, 213, 299]",0.5744363069534302
17,14_16_6,800,800,ship,174,513,185,536,0,1,1737,"[174, 513, 185, 536]",0.6375454068183899
18,14_16_6,800,800,ship,212,422,225,438,0,1,1723,"[212, 422, 225, 438]",0.5859739184379578
19,14_16_6,800,800,ship,252,555,268,587,0,1,1722,"[252, 555, 268, 587]",0.6864272356033325
20,14_16_6,800,800,ship,329,588,341,609,0,1,1746,"[329, 588, 341, 609]",0.6384889483451843
21,14_16_6,800,800,ship,451,550,465,564,0,1,1730,"[451, 550, 465, 564]",0.5984907746315002
22,14_16_6,800,800,ship,516,661,538,680,0,1,1745,"[516, 661, 538, 680]",0.5485019683837891
23,14_16_6,800,800,ship,544,540,570,575,0,1,1749,"[544, 540, 570, 575]",0.8233516216278076
24,14_16_6,800,800,ship,504,467,521,484,0,1,1727,"[504, 467, 521, 484]",0.6962721943855286
25,14_16_6,800,800,ship,598,652,609,666,0,1,1751,"[598, 652, 609, 666]",0.6454032063484192
26,14_16_6,800,800,ship,669,594,679,603,0,1,1752,"[669, 594, 679, 603]",0.5801813006401062
27,14_16_6,800,800,ship,638,508,653,532,0,1,1741,"[638, 508, 653, 532]",0.7322795987129211
28,14_16_6,800,800,ship,463,370,481,383,0,1,1734,"[463, 370, 481, 383]",0.6066808700561523
29,14_16_6,800,800,ship,506,284,522,301,0,1,1731,"[506, 284, 522, 301]",0.7950772047042847
30,14_16_6,800,800,ship,562,355,575,379,0,1,1753,"[562, 355, 575, 379]",0.6259830594062805
31,14_16_6,800,800,ship,654,297,670,326,0,1,1744,"[654, 297, 670, 326]",0.855399489402771
32,14_16_6,800,800,ship,627,419,638,441,0,1,1747,"[627, 419, 638, 441]",0.6756278276443481
33,14_16_6,800,800,ship,703,459,722,477,0,1,1735,"[703, 459, 722, 477]",0.739462673664093
34,14_16_6,800,800,ship,744,609,760,626,0,1,1729,"[744, 609, 760, 626]",0.7302404046058655
35,14_16_6,800,800,ship,749,363,769,381,0,1,1728,"[749, 363, 769, 381]",0.7667204141616821
36,14_16_6,800,800,ship,746,270,763,286,0,1,1725,"[746, 270, 763, 286]",0.8544604182243347
37,14_16_6,800,800,ship,790,522,800,540,0,1,1754,"[790, 522, 800, 540]",0.7656189203262329
38,14_16_6,800,800,ship,791,415,800,429,0,1,1755,"[791, 415, 800, 429]",0.8892955183982849
39,14_16_6,800,800,ship,393,93,411,126,0,1,1724,"[393, 93, 411, 126]",0.7986845374107361
40,14_16_6,800,800,ship,410,216,422,240,0,1,1743,"[410, 216, 422, 240]",0.6957135796546936
41,14_16_6,800,800,ship,501,169,516,187,0,1,1740,"[501, 169, 516, 187]",0.7633095979690552
42,14_16_6,800,800,ship,572,74,586,92,0,1,1721,"[572, 74, 586, 92]",0.7466793656349182
43,14_16_6,800,800,ship,608,142,626,181,0,1,1750,"[608, 142, 626, 181]",0.8235561847686768
44,14_16_6,800,800,ship,763,67,781,97,0,1,1720,"[763, 67, 781, 97]",0.738599956035614
45,14_16_6,800,800,ship,508,741,527,768,0,1,1738,"[508, 741, 527, 768]",0.6304762363433838
46,14_16_6,800,800,ship,574,732,589,750,0,1,1733,"[574, 732, 589, 750]",0.7609407305717468
47,14_16_6,800,800,ship,666,704,677,720,0,1,1748,"[666, 704, 677, 720]",0.7233158946037292
48,14_16_6,800,800,ship,701,767,716,783,0,1,1739,"[701, 767, 716, 783]",0.7826550602912903
49,14_16_6,800,800,ship,778,736,797,756,0,1,1732,"[778, 736, 797, 756]",0.9196310043334961
50,14_15_16,800,800,ship,427,739,432,754,0,1,1672,"[427, 739, 432, 754]",0.259245365858078
